subject,roi,freq_0.027244,freq_0.028846,freq_0.030449
sub-015P,auditory,3.7037600671205357,7.8812786808425415,4.85111565479129
sub-015P,dmn,4.712463488960406,3.74771651403857,2.7050827574059233
sub-015P,fpn,4.793528497609369,6.511549435671963,3.0670506947771043
sub-015P,limbic,2.251649999247391,4.614204811292321,4.672439625482808
sub-015P,motor,9.334689912107528,8.675542221729431,2.501216661182876
sub-015P,salience,6.315270749239724,5.5927503096262665,2.726144150917689
sub-015P,visual,7.046302622579267,4.645382534097303,1.856204788684361
sub-016P,auditory,2.234869888741097,3.05720879954251,2.7331136672857785
sub-016P,dmn,9.708478323128672,10.362860698312554,4.888815197178174
sub-016P,fpn,12.159605191099295,9.815097235506833,4.707813005362149
sub-016P,limbic,9.840724805086875,5.019021621675596,0.6751965326362028
sub-016P,motor,1.7852228151095817,2.115949376272584,7.151715727168419
sub-016P,salience,2.0818757746504026,2.124619225373522,1.9852658788310085
sub-016P,visual,15.27465432366879,3.581139041874536,1.382558872382576
sub-018P,auditory,10.065299115027058,7.7727558431529555,0.8702154011250715
sub-018P,dmn,2.612336931190358,3.9414861492831723,4.745610763125117
sub-018P,fpn,7.5779229982628,2.071026808701371,2.6990119354736426
sub-018P,limbic,4.006346963827285,7.761827965212692,3.151479387227341
sub-018P,motor,3.4041557233142963,1.8880661723786853,2.7748990875059727
sub-018P,salience,1.0112448314875297,1.6786259317754504,0.8436154415543483
sub-018P,visual,2.079731768858435,0.6488504544107458,4.569214944131718
sub-019P,auditory,8.390405933180894,21.863622508514982,11.118763215129801
sub-019P,dmn,5.934978479670886,10.657561193131704,16.93948806522853
sub-019P,fpn,16.24162551801101,25.74396779361464,17.90390301662672
sub-019P,limbic,4.5073705883043065,5.0476324793785095,4.62958316496962
sub-019P,motor,5.4303257916383805,2.693812635004514,3.6623376877416574
sub-019P,salience,6.335551279874464,11.12598915974246,9.617935361020127
sub-019P,visual,6.3920248904834125,13.324292351807477,12.023785214900752
sub-023P,auditory,4.791030804522844,4.967190365658208,6.469074363442946
sub-023P,dmn,7.902361667398568,5.355729965793944,2.754647000855838
sub-023P,fpn,10.499677730919466,16.759896950944423,4.5710513139992015
sub-023P,limbic,4.428535502432119,2.4755634900841423,6.424897624928856
sub-023P,motor,2.786900485024603,10.231686312809494,5.564289225133885
sub-023P,salience,1.5655355156107675,2.1971837801840515,1.1824589731693202
sub-023P,visual,3.001366010789135,5.953706346936924,1.2768977293796637
sub-024P,auditory,10.715700967463675,6.949594467454766,0.7821054384166043
sub-024P,dmn,4.15151272284424,5.50925658734371,1.408672081934152
sub-024P,fpn,8.052746020125863,4.334974438392791,3.8515019164178357
sub-024P,limbic,5.915329256381751,5.4687444500397735,8.424381224034665
sub-024P,motor,2.844148177682267,9.501200886979403,10.138585806440446
sub-024P,salience,3.3367762970086003,3.8333049558445715,2.1706250889363847
sub-024P,visual,1.3558714690543545,3.16527480241663,1.3138730237536118
sub-030P,auditory,26.829307589974974,5.501703130665195,3.8422658913456518
sub-030P,dmn,13.259247749227342,2.622300502950489,4.246538742315785
sub-030P,fpn,15.150831525901749,12.381345726116525,3.7490846401715663
sub-030P,limbic,8.524005640285404,4.316418028373598,4.257325090898499
sub-030P,motor,8.787116185834511,7.567984772904577,3.400333606358212
sub-030P,salience,13.460187065117042,3.558086104475027,5.909174646205178
sub-030P,visual,8.898926310905882,4.274124963494736,2.9696495901453295
sub-039P,auditory,8.186060664366682,20.980070998678436,12.840921276277143
sub-039P,dmn,10.448083312884973,10.756094130446305,8.083768167480732
sub-039P,fpn,14.42835967680366,4.575297070248066,11.165893712054146
sub-039P,limbic,5.622083580930645,16.6426277111211,12.998423737746853
sub-039P,motor,5.318671861031451,6.80978081493247,3.280105207062671
sub-039P,salience,3.851944221404305,7.634662193783515,5.969824567033496
sub-039P,visual,11.451311573179947,9.800890810188228,7.589677495401448
sub-041P,auditory,5.005649625734863,5.022912039163423,2.4396962630340804
sub-041P,dmn,7.58800889406614,9.007439240862377,3.4791731821040206
